kind,id,category,location_id,char_start,char_end,cause_category,improvement_class,summary
missed,WORDVAL-002,会社名,body:None::paragraph:None:None:None:1:None:/word/document.xml:body/p[1],5,13,D/E,汎用ルールで安全に改善可能,後置株式会社のspanが会社名として完全一致せず同spanは氏名に誤分類された
missed,WORDVAL-004,会社名,body:None::paragraph:None:None:None:3:None:/word/document.xml:body/p[3],13,17,A/B,改善可能だがFP増加リスクあり,法人格なし組織名を基礎検出器もWord regexも出していない
missed,WORDVAL-006,氏名,body:None::paragraph:None:None:None:7:None:/word/document.xml:body/p[7],4,8,A/B,改善可能だがFP増加リスクあり,空白なし氏名かつ連絡者ラベルが未対応で候補が出ていない
missed,WORDVAL-011,住所,body:None::paragraph:None:None:None:12:None:/word/document.xml:body/p[12],5,27,D,改善可能だがFP増加リスクあり,建物名までspanが伸びず完全一致しない
false_positive,0372044657ca,会社名,body:None::paragraph:None:None:None:1:None:/word/document.xml:body/p[1],0,4,A,汎用ルールで安全に改善可能,後置会社名regexが文頭一般語を会社名として残した
false_positive,1ba70c74a3cf,氏名,body:None::paragraph:None:None:None:1:None:/word/document.xml:body/p[1],5,13,B,汎用ルールで安全に改善可能,氏名パターンが法人格付き会社名を氏名として拾った
false_positive,a63d4a531232,会社名,body:None::paragraph:None:None:None:1:None:/word/document.xml:body/p[1],9,13,G,汎用ルールで安全に改善可能,前置会社名regexが後置の法人格単体を会社名として残した
false_positive,7b29f6e4b4d2,会社名,body:None::paragraph:None:None:None:2:None:/word/document.xml:body/p[2],0,5,A,汎用ルールで安全に改善可能,後置会社名regexが文頭一般語を会社名として残した
false_positive,04132d9a0968,住所,body:None::paragraph:None:None:None:12:None:/word/document.xml:body/p[12],5,20,G,改善可能だがFP増加リスクあり,建物名を含む正解spanより短い住所候補になった
false_positive,4b74173c7381,住所,body:None::paragraph:None:None:None:13:None:/word/document.xml:body/p[13],12,19,E,汎用ルールで安全に改善可能,市区町村を含む一般説明文を住所として拾った
