項目,値,備考
generation_name,PDF generic detection Generation3,
dataset_name,PDF汎用検出 開発データセットv1,
dataset_version,pdf31_development_dataset_v1,
created_at,2026-07-23,
source_branch,feature/pdf-generic-detection-v1,
development_dataset_pages,"5,6,10,11,13,15",評価対象ページの番号のみ。候補生成コードからは参照しない。
ground_truth_count,49,
candidate_count,28,
matched_ground_truth_count,30,
missed_ground_truth_count,19,
true_positive_candidate_count,20,
false_positive_candidate_count,8,
recall,0.612,
candidate_precision,0.714,
average_coverage,0.968,
minimum_coverage,0.853,
baseline_v1_candidate_count,0,
baseline_v1_matched_ground_truth_count,0,
initial_generic_candidate_count,57,
initial_generic_matched_ground_truth_count,10,
initial_generic_false_positive_candidate_count,47,
generation2_candidate_count,27,
generation2_matched_ground_truth_count,27,
generation2_missed_ground_truth_count,22,
generation2_true_positive_candidate_count,16,
generation2_false_positive_candidate_count,11,
generation2_recall,0.551,
generation2_candidate_precision,0.593,
generation2_average_coverage,0.970,
generation2_minimum_coverage,0.853,
independence_audit_pass,9,
independence_audit_total,9,
holdout_policy,Do not use this 31-page PDF for complete holdout or unknown-data evaluation,
future_rule_policy,Do not change future detection rules based on this 31-page PDF,
practicality_judgement,Human-confirmed PDF anonymization assistance workflow; not fully automatic,
sensitive_data_policy,"No personal names, company names, source text, OCR text, ground-truth text, coordinates, HMAC values, or secrets are stored in this summary",
